Year,Topic,,,,,,,,,,,
2023,Authorization,,,,,,,,,,,
2023,Confidentiality,,,,,,,,,,,
2023,Non-repudiation,,,Count of Topic,Column Labels,,,,,,,
2023,Integrity,,,Row Labels,Authentication,Authorization,Availability,Confidentiality,Identification,Integrity,Non-repudiation,Grand Total
2022,Confidentiality,,,2014,0,0,0,2,0,0,0,2
2021,Integrity,,,2015,1,2,0,0,0,0,0,3
2021,Availability,,,2016,0,0,0,1,0,0,0,1
2020,Authentication,,,2017,0,1,0,1,0,0,1,3
2019,Authorization,,,2018,0,0,0,0,1,0,0,1
2019,Authentication,,,2019,1,2,0,0,1,1,0,5
2019,Integrity,,,2020,1,0,0,0,1,0,0,2
2017,Authorization,,,2021,3,0,2,1,1,3,0,10
2017,Confidentiality,,,2022,4,1,0,2,1,0,0,8
2017,Non-repudiation,,,2023,5,2,0,3,2,3,1,16
2023,Identification,,,Grand Total,15,8,2,10,7,7,2,51
2022,Confidentiality,,,,,,,,,,,
2022,Authentication,,,,,,,,,,,
2022,Authentication,,,,,,,,,,,
2022,Authentication,,,,,,,,,,,
2021,Identification,,,,,,,,,,,
2021,Authentication,,,,,,,,,,,
2021,Confidentiality,,,,,,,,,,,
2021,Integrity,,,,,,,,,,,
2019,Authorization,,,,,,,,,,,
2019,Identification,,,,,,,,,,,
2018,Identification,,,,,,,,,,,
2016,Confidentiality,,,,,,,,,,,
2015,Authentication,,,,,,,,,,,
2015,Authorization,,,,,,,,,,,
2014,Confidentiality,,,,,,,,,,,
2023,Identification,,,,,,,,,,,
2023,Integrity,,,,,,,,,,,
2022,Authentication,,,,,,,,,,,
2023,Authorization,,,,,,,,,,,
2022,Authorization,,,,,,,,,,,
2014,Confidentiality,,,,,,,,,,,
2023,Authentication,,,,,,,,,,,
2023,Authentication,,,,,,,,,,,
2023,Confidentiality,,,,,,,,,,,
2023,Authentication,,,,,,,,,,,
2023,Integrity,,,,,,,,,,,
2023,Confidentiality,,,,,,,,,,,
2023,Authentication,,,,,,,,,,,
2023,Authentication,,,,,,,,,,,
2022,Identification,,,,,,,,,,,
2021,Authentication,,,,,,,,,,,
2021,Availability,,,,,,,,,,,
2021,Integrity,,,,,,,,,,,
2021,Authentication,,,,,,,,,,,
2020,Identification,,,,,,,,,,,
2015,Authorization,,,,,,,,,,,
