Year,Reality,,,,,,
2023,MR,,,,,,
2023,AR,,,,,,
2023,AR,Count of Reality,Column Labels,,,,
2023,VR,Row Labels,AR,MR,VR,XR,Grand Total
2023,AR,2014,2,0,0,0,2
2023,VR,2015,5,0,1,0,6
2022,VR,2016,2,0,1,0,3
2022,MR,2017,3,1,1,0,5
2022,AR,2018,1,0,1,0,2
2022,AR,2019,5,1,4,0,10
2021,VR,2020,1,0,2,0,3
2021,AR,2021,5,3,11,1,20
2021,VR,2022,7,4,9,0,20
2021,XR,2023,10,2,16,5,33
2021,MR,Grand Total,41,11,46,6,104
2021,AR,,,,,,
2020,VR,,,,,,
2019,AR,,,,,,
2019,VR,,,,,,
2019,VR,,,,,,
2017,AR,,,,,,
2017,MR,,,,,,
2017,AR,,,,,,
2017,VR,,,,,,
2017,AR,,,,,,
2016,AR,,,,,,
2015,AR,,,,,,
2023,VR,,,,,,
2023,XR,,,,,,
2023,AR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,AR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,XR,,,,,,
2023,MR,,,,,,
2022,VR,,,,,,
2022,VR,,,,,,
2022,AR,,,,,,
2022,VR,,,,,,
2022,VR,,,,,,
2022,VR,,,,,,
2021,VR,,,,,,
2021,VR,,,,,,
2021,VR,,,,,,
2021,VR,,,,,,
2019,AR,,,,,,
2019,AR,,,,,,
2019,VR,,,,,,
2018,AR,,,,,,
2016,AR,,,,,,
2015,AR,,,,,,
2015,AR,,,,,,
2015,VR,,,,,,
2015,AR,,,,,,
2014,AR,,,,,,
2023,XR,,,,,,
2023,VR,,,,,,
2022,AR,,,,,,
2019,MR,,,,,,
2019,AR,,,,,,
2023,AR,,,,,,
2023,XR,,,,,,
2022,MR,,,,,,
2022,AR,,,,,,
2014,AR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,AR,,,,,,
2023,AR,,,,,,
2023,VR,,,,,,
2023,VR,,,,,,
2023,AR,,,,,,
2023,XR,,,,,,
2023,AR,,,,,,
2023,VR,,,,,,
2022,VR,,,,,,
2022,MR,,,,,,
2022,AR,,,,,,
2022,MR,,,,,,
2022,AR,,,,,,
2022,VR,,,,,,
2022,VR,,,,,,
2021,MR,,,,,,
2021,VR,,,,,,
2021,VR,,,,,,
2021,MR,,,,,,
2021,VR,,,,,,
2021,AR,,,,,,
2021,AR,,,,,,
2021,VR,,,,,,
2021,AR,,,,,,
2021,VR,,,,,,
2020,VR,,,,,,
2020,AR,,,,,,
2019,AR,,,,,,
2019,VR,,,,,,
2018,VR,,,,,,
2016,VR,,,,,,
2015,AR,,,,,,
